Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,来,Lai,"く.る, き",ライ,Đến,来る【くる】đến,来年【らいねん】năm sau,来月【らいげつ】tháng sau,1 (一) loại gạo (米) mới sẽ ra đời trong tương lai (来),7,N5,,人
,木,Mộc,き,"モク, ボク",Cây,木【き】cây,木曜日【もくようび】thứ năm,大木【たいぼく】cây lớn,Hình cái cây (木),4,N5,,木
,林,Lâm,はやし,リン,Rừng thưa,林【はやし】rừng thưa,小林【こばやし】Kobayashi,山林【さんりん】sơn lâm,2 cây (木) là rừng thưa (林),8,N5,,木
,森,Sâm,もり,シン,Rừng rậm,森【もり】rừng rậm,森田【もりた】Morita,青森【あおもり】Aomori,3 cây (木) là rừng rậm (森),12,N5,,木
,休,Hưu,やす.む,キュウ,Nghỉ ngơi,休む【やすむ】nghỉ ngơi,休日【きゅうじつ】ngày nghỉ,夏休み【なつやすみ】nghỉ hè,Người đứng (亻) cạnh cây (木) để nghỉ ngơi (休),6,N5,,人
,本,Bản,もと,ホン,"Gốc, sách",本【ほん】sách,日本【にほん】Nhật Bản,一本【いっぽん】một cái (vật dài),Mỗi cây (木) chỉ có 1 (一) gốc (本),5,N5,,木
,体,Thể,からだ,タイ,Cơ thể,体【からだ】cơ thể,体重【たいじゅう】cân nặng,体操【たいそう】thể dục,Nhân (亻) bản (本) cơ thể (体),7,N5,,人
,音,Âm,"おと, ね",オン,Âm thanh,音【おと】âm thanh,音楽【おんがく】âm nhạc,本音【ほんね】ý định thật sự,Đứng (立) ở Nhật (日) nhớ về âm thanh (音) quê hương,9,N5,,音
,暗,Ám,くら.い,アン,Tối,暗い【くらい】tối tăm,暗記【あんき】học thuộc lòng,暗号【あんごう】mật mã,Ở Nhật (日) âm thanh (音) ồn ào từ sáng đến tối (暗),13,N5,,日
,水,Thủy,みず,スイ,Nước,水【みず】nước,水曜日【すいようび】thứ tư,水泳【すいえい】bơi lội,Hình giọt nước bắn sang 2 bên (水),4,N5,,水
,泳,Vịnh,およ.ぐ,エイ,Bơi,泳ぐ【およぐ】bơi,水泳【すいえい】bơi lội,平泳ぎ【ひらおよぎ】bơi ếch,Nước (氵) vĩnh cửu (永) dùng để bơi (泳),8,N5,,水
,火,Hỏa,ひ,カ,Lửa,火【ひ】ngọn lửa,火曜日【かようび】thứ ba,火事【かじ】hỏa hoạn,2 (丷) tay người (人) vùng vẫy để thoát khỏi đám lửa (火),4,N5,,火
,立,Lập,"た.つ, た.てる",リツ,Đứng,立つ【たつ】đứng,立てる【たてる】dựng lên,国立【こくりつ】quốc lập,"Đầu (亠) đội trời, chân đạp đất (丷 + 一), đứng dậy (立) lập nghiệp",5,N5,,立
,話,Thoại,"はな.す, はなし",ワ,Đàm thoại,話す【はなす】nói chuyện,話【はなし】câu chuyện,電話【でんわ】điện thoại,Lời nói (言) qua cái lưỡi (舌) thành hội thoại (話),13,N5,,言
,門,Môn,かど,モン,Cổng,門【もん】cổng,正門【せいもん】cổng chính,入門【にゅうもん】nhập môn,Hình 2 cánh cổng (門),8,N5,,門
,聞,Văn,"き.く, き.こえる","ブン, モン",Nghe,聞く【きく】nghe,聞こえる【きこえる】nghe thấy,新聞【しんぶん】báo chí,Đứng dưới cổng (門) vểnh tai (耳) nghe (聞),14,N5,,門
,間,Gian,"あいだ, ま","カン, ケン",Khoảng,間【あいだ】ở giữa,時間【じかん】thời gian,間に合う【まにあう】kịp giờ,Cổng (門) ở Nhật (日) là cánh cổng thời gian (間),12,N5,,門
,金,Kim,"かね, かな-","キン, コン","Vàng, tiền",お金【おかね】tiền bạc,金曜日【きんようび】thứ sáu,金【きん】vàng,Người (人) làm vua (王) có 2 (丷) túi tiền vàng (金),8,N5,,金
,貝,Bối,かい,(không có),Bảo bối,貝【かい】con sò,貝殻【かいがら】vỏ sò,赤貝【あかがい】sò huyết,Mắt (目) mở to khi nhìn thấy 8 (八) bảo bối (貝) quý hiếm,7,N5,,貝
,買,Mại,か.う,バイ,Mua,買う【かう】mua,買い物【かいもの】mua sắm,売買【ばいばい】mua bán,Mua (買) võng (罒) cho bảo bối (貝) với giá khuyến mãi,12,N5,,貝
,生,Sinh,"い.きる, う.まれる","セイ, ショウ",Học sinh,先生【せんせい】giáo viên,学生【がくせい】học sinh,生【なま】tươi sống,Học sinh (生) nằm (𠂉) ra đất (土) ngủ,5,N5,,生
,寺,Tự,てら,ジ,Chùa,お寺【おてら】ngôi chùa,東大寺【とうだいじ】chùa Todaiji,寺院【じいん】tự viện,Đất (土) thốn (寸) không được xây chùa (寺),6,N5,,寸
,時,Thời,とき,ジ,Thời gian,時間【じかん】thời gian,時計【とけい】đồng hồ,時々【ときどき】thỉnh thoảng,Dành thời gian (時) cả ngày (日) trên chùa (寺),10,N5,,日
,魚,Ngư,"さかな, うお",ギョ,Con cá,魚【さかな】con cá,金魚【きんぎょ】cá vàng,人魚【にんぎょ】mỹ nhân ngư,Móc (勹) dưới ruộng (田) rồi đốt lửa (灬) nướng cá (魚),11,N5,,魚
,雨,Vũ,"あめ, あま-",ウ,Mưa,雨【あめ】mưa,大雨【おおあめ】mưa lớn,雨天【うてん】trời mưa,"Một (一) tia (丨) giáng xuống biên giới (冂), hàng vạn hạt (灬) mưa (雨) đã rơi",8,N5,,雨
,電,Điện,(không có),デン,Điện,電気【でんき】điện,電車【でんしゃ】tàu điện,電話【でんわ】điện thoại,Mưa (雨) ngày (日) càng Lớn (乚) làm đứt dây điện (電),13,N5,,雨
